input,output,se_order
"sarapan nya untuk lauknya porsinya terlalu sedikit , saluran televisi tidak jelas dan buram , untuk kondisi kamar bersih dan bagus .| aspek : <extra_id_0>",<extra_id_0> sarapan nya ; <extra_id_1> saluran televisi ; <extra_id_2> kamar,a
"hotel nyaman dan lokasi strategis .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotel <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> lokasi <extra_id_4> strategis <extra_id_5> positive,aos
"tempat masih bisa dijangkau dari pusat kota . dekat dengan fast food . kamar baik , hanya toiletnya sempit .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> toiletnya,a
"bersih tempatnya . saya suka . cuma air panasnya lagi macet kemarin .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> air panasnya <extra_id_4> macet <extra_id_5> negative,aos
"sarung bantal agak bau .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> sarung bantal <extra_id_1> agak bau,ao
"hot shower tidak ada , kamarnya kotor dan bau amis .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hot shower <extra_id_1> tidak ada ; <extra_id_2> kamarnya <extra_id_3> kotor ; <extra_id_4> kamarnya <extra_id_5> bau amis,ao
"lokasi strategist dan kamar lumayan nyaman , penampilan kusam karena usia bangunan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> positive ; <extra_id_2> kamar <extra_id_3> positive,as
"pelayanan baik , terima kasih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> baik <extra_id_2> positive,aos
"bersih , nyaman dan murah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"nyaman bersih cuma sayang tidak ada tisu toiletnya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tisu toiletnya <extra_id_1> tidak ada ; <extra_id_2> NULL <extra_id_3> nyaman ; <extra_id_4> NULL <extra_id_5> bersih,ao
"lmpunya ada beberapa yang tidak nyala , tetapi kamar bagus luas dan oke .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lmpunya <extra_id_1> tidak nyala ; <extra_id_2> kamar <extra_id_3> bagus ; <extra_id_4> kamar <extra_id_5> luas ; <extra_id_6> kamar <extra_id_7> oke,ao
"Makanan cukup bervariasi dan enak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> Makanan <extra_id_1> positive,as
"enak nyaman murah tetapi berkualitas sayang kemarin tidak dapat perlengkapan mandi huhu . keseluruhan oke banget kok .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> perlengkapan mandi <extra_id_1> tidak dapat ; <extra_id_2> keseluruhan <extra_id_3> oke banget ; <extra_id_4> NULL <extra_id_5> enak ; <extra_id_6> NULL <extra_id_7> nyaman ; <extra_id_8> NULL <extra_id_9> murah ; <extra_id_10> NULL <extra_id_11> berkualitas,ao
"kamar luas dan bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> luas <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> bersih <extra_id_5> positive,aos
"pelayanan baik dan sigap . sarapan lumayan enak untuk nasi goreng nya . cuma ada yang perlu di perbaiki , 1 . kamar mandi kurang bersih 2 . air panas di shower mati idup jadi tibatiba dingin sendiri 3 . aliran air pada shower kurang besar/banyak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> sarapan <extra_id_3> positive ; <extra_id_4> nasi goreng nya <extra_id_5> positive ; <extra_id_6> kamar mandi <extra_id_7> negative ; <extra_id_8> air panas <extra_id_9> negative ; <extra_id_10> aliran air <extra_id_11> negative,as
pelayanan baik namun perlengkapan tidur seperti seprai dan selimut yang digunakan tidak dicuci dengan bersih sehingga masih ada bekas kotoran .| opini : <extra_id_0>,<extra_id_0> baik ; <extra_id_1> tidak dicuci dengan bersih,o
"pelayanan nya ramah banget dan kalau pun kurang paham mereka menjelaskan lagi sampai kita paham , sarapannya juga enak , hanya saja sedikit tidak bersih kasur nya mungkin bisa lebih baik lagi kedepan nya , ac nya dingin ada air hangat nya juga untuk shower , over all it s good not bad .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> ramah banget ; <extra_id_2> sarapannya <extra_id_3> enak ; <extra_id_4> kasur nya <extra_id_5> sedikit tidak bersih ; <extra_id_6> ac nya <extra_id_7> dingin ; <extra_id_8> air hangat nya <extra_id_9> ada ; <extra_id_10> over all <extra_id_11> good ; <extra_id_12> over all <extra_id_13> not bad,ao
tolang chanel dan kejernihan kualitas tv di perbaiki .| aspek : <extra_id_0>,<extra_id_0> kualitas tv,a
"tempat sangat bersih dan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat <extra_id_1> sangat bersih ; <extra_id_2> tempat <extra_id_3> nyaman,ao
"wenak rek , kamar mandinya bersih , tempat tidurnya rapi , dekat ayam geprek lagi : ) .| aspek : <extra_id_0>",<extra_id_0> kamar mandinya ; <extra_id_1> tempat tidurnya ; <extra_id_2> NULL,a
kamar yang saya dapat kurang bersih .| opini : <extra_id_0>,<extra_id_0> kurang bersih,o
"tempat nya bersih dan rapi harganya terjangkau pula .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat nya <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> tempat nya <extra_id_4> rapi <extra_id_5> positive ; <extra_id_6> harganya <extra_id_7> terjangkau <extra_id_8> positive,aos
"2 . saluran air kamar mandi sering tersumbat , saya mandi sampai banjir meluap keluar pintu airnya !| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> saluran air kamar mandi <extra_id_1> negative,as
"No complaints .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> No complaints <extra_id_2> positive,aos
"hotelnya nyaman , breakfastnya variatif dan pelayanannya bagus . terimakasih airy .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotelnya <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> breakfastnya <extra_id_4> variatif <extra_id_5> positive ; <extra_id_6> pelayanannya <extra_id_7> bagus <extra_id_8> positive,aos
"harga yang amazing untuk inap yang nyaman , strategis dan ramah . kalau ada acara dipekanbaru lagi insyaallah inap disini lagi cuma pintu kamar mandi tidak bisa ditutup rapat dan kalau terlambat sarapan tidak kebagian makanan he pengalaman yang buat laper .| aspek : <extra_id_0>",<extra_id_0> harga ; <extra_id_1> inap ; <extra_id_2> pintu kamar mandi ; <extra_id_3> sarapan,a
perasaan aku pesan ada sarapannya . tetapi tidak datang .| opini : <extra_id_0>,<extra_id_0> tidak datang,o
"bisa masuk 3 mobil ( kalau tanpa motor ) , kamar minimalis , nyaman , keren , ac dingin , pelayanan juga ramah , selalu ada yang menjaga .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> ac ; <extra_id_2> pelayanan,a
"kamar bersih , rapi , semuanya bagus tetapi hanya 1 yang kurang yaitu kamar kurang kedap suara , suara dari luar maupun dari dalam keluar terdengar jelas .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> rapi ; <extra_id_2> bagus ; <extra_id_3> kurang kedap suara,o
"budget hotel yang sangat baik , meskipun murah dan kamar sempit . tetapi kamarnya , handuk , bantal sampai lantai nya wangi . ini points yang penting bagi saya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> budget hotel <extra_id_1> sangat baik ; <extra_id_2> budget hotel <extra_id_3> murah ; <extra_id_4> kamar <extra_id_5> sempit ; <extra_id_6> kamarnya <extra_id_7> wangi ; <extra_id_8> handuk <extra_id_9> wangi ; <extra_id_10> bantal <extra_id_11> wangi ; <extra_id_12> lantai <extra_id_13> wangi,ao
"wastafel bocor , handuk bau tidak enak ( tidak bersih ) , lemari kotor .| opini : <extra_id_0>",<extra_id_0> bocor ; <extra_id_1> bau tidak enak ; <extra_id_2> tidak bersih ; <extra_id_3> kotor,o
"pelayanan ramah , kamar bersih , ac dingin , hanya saja suara dari luar kedengaran , sedikit mengganggu ketenangan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> ramah ; <extra_id_2> kamar <extra_id_3> bersih ; <extra_id_4> ac <extra_id_5> dingin,ao
"hot waternya hari pertama berfungsi namun hari kedua sudah tidak berfungsi , siaran tvnya kabur dan ac kurang dingin .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hot waternya <extra_id_1> negative ; <extra_id_2> siaran tvnya <extra_id_3> negative ; <extra_id_4> ac <extra_id_5> negative,as
"nyaman , bersih , wifi ngebutt .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> wifi <extra_id_1> ngebutt ; <extra_id_2> NULL <extra_id_3> nyaman ; <extra_id_4> NULL <extra_id_5> bersih,ao
"saat pertama kali datang untuk check in , tidak ada orang di resepsionis jadi saya harus masuk dan memanggilmemanggil sampai ruangan belakang . sampai kamar ternyata tidak ada air mineral dan amenities dan baru dikasih ketika kami sudah di kamar . handuk hanya 1 dan tempat tidur berbunyi seperti sudah tua . tutup wc sudah kecoklatan . kamar cukup besar .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air mineral <extra_id_1> tidak ada ; <extra_id_2> handuk <extra_id_3> hanya 1 ; <extra_id_4> tempat tidur <extra_id_5> berbunyi ; <extra_id_6> tutup wc <extra_id_7> kecoklatan ; <extra_id_8> kamar <extra_id_9> cukup besar,ao
"kamarnya pengap , kamar mandi agak kotor di bagian pojokan wastafel dan ubin dibawah pintu kamar mandi . kondisi macab kamar dekat pintu tidak safety . tidak mendapatkan air hangat ketika check - in kondisi hujan/welcome drink . makanan breakfast tahu isi agak bau .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> pengap <extra_id_2> negative ; <extra_id_3> kamar mandi <extra_id_4> agak kotor <extra_id_5> negative ; <extra_id_6> air hangat <extra_id_7> tidak mendapatkan <extra_id_8> negative ; <extra_id_9> breakfast <extra_id_10> agak bau <extra_id_11> negative,aos
"pelayanannya oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanannya <extra_id_1> oke <extra_id_2> positive,aos
"air kotor yang dari water heaternya . sudah begitu mati pas ahirahir mau dipakai . tetapi overall good sihh .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air <extra_id_1> negative ; <extra_id_2> overall <extra_id_3> positive,as
"lokasinya mudah ditemui , dekat dengan keramaian , pelayanan dan fasilitasnya sangat baik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lokasinya <extra_id_1> mudah ditemui ; <extra_id_2> pelayanan <extra_id_3> sangat baik ; <extra_id_4> fasilitasnya <extra_id_5> sangat baik,ao
"kamar bersih . selimut kotor dan kasar lagi . tidak ada remote ac . terus panas . tv tabung kecil 20 inc . air kencang . wifi tidak nyampe kamar . cma 1 garis . palayanan lambat ketika cek in tidak ada resepsionisnya menunggu lama baru siap .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> selimut <extra_id_3> kotor ; <extra_id_4> selimut <extra_id_5> kasar ; <extra_id_6> remote <extra_id_7> tidak ada ; <extra_id_8> ac <extra_id_9> panas ; <extra_id_10> tv <extra_id_11> kecil ; <extra_id_12> air <extra_id_13> kencang ; <extra_id_14> wifi <extra_id_15> tidak nyampe ; <extra_id_16> palayanan <extra_id_17> lambat ; <extra_id_18> cek in <extra_id_19> menunggu lama ; <extra_id_20> resepsionisnya <extra_id_21> tidak ada,ao
"kamar bersih dan nyaman , harga terjangkau cocok untuk backpacker .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> nyaman ; <extra_id_2> terjangkau,o
semua oke cuma selimutnya saja kecil dan jendela kotor .| aspek : <extra_id_0>,<extra_id_0> semua ; <extra_id_1> selimutnya ; <extra_id_2> jendela,a
"lumayan untuk harga diskon . ac , tv , westafel semua baik . cuma kmrrn habis ada wedding party , belum selesai , jadi sampah nya bau .| opini : <extra_id_0>",<extra_id_0> baik,o
"nyaman . ruangannya bersih dan luas , hanya saja wifi tidak jalan alias lambat .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> luas ; <extra_id_2> tidak jalan ; <extra_id_3> lambat ; <extra_id_4> nyaman,o
"sudah 2 kali di sini . servis , lokasi dan kamar oke . rate kompetitif . hanya saja cukup strict untuk waktu checkin .| opini : <extra_id_0>",<extra_id_0> oke,o
"ramah , sopan , respons cepat dan dekat dari tempat acara . terima kasih airy .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> respons <extra_id_1> cepat <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> ramah <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> sopan <extra_id_8> positive,aos
"sarung bantal , seprai dan selimutnya tidak lagi putih . terus dindingnya sudah banyak lumut . yang lain , oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sarung bantal <extra_id_1> tidak lagi putih <extra_id_2> negative ; <extra_id_3> seprai <extra_id_4> tidak lagi putih <extra_id_5> negative ; <extra_id_6> selimutnya <extra_id_7> tidak lagi putih <extra_id_8> negative ; <extra_id_9> dindingnya <extra_id_10> banyak lumut <extra_id_11> negative ; <extra_id_12> yang lain <extra_id_13> oke <extra_id_14> positive,aos
"harga dengan fasilitas yang disedikan sangat tidak sesuai . ketika check - in handuk tidak ada harus diminta dulu baru ada . dan kebersihan sungguh jauh dari kata bersih untuk standar hotel . banyak sekali debu apalagi ketika buka gorden terlihat debu yang sepertinya sudah berbulan - bulan tidak dibersihkan . kamar mandi berbau tidak sedap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> sangat tidak sesuai <extra_id_2> negative ; <extra_id_3> fasilitas <extra_id_4> sangat tidak sesuai <extra_id_5> negative ; <extra_id_6> handuk <extra_id_7> tidak ada <extra_id_8> negative ; <extra_id_9> kebersihan <extra_id_10> sungguh jauh dari kata bersih <extra_id_11> negative ; <extra_id_12> kamar mandi <extra_id_13> berbau tidak sedap <extra_id_14> negative,aos
hotelnya bersih dan lumayan luas kamarnya .| aspek : <extra_id_0>,<extra_id_0> hotelnya ; <extra_id_1> kamarnya,a
"semua fasilitas berjalan baik , hanya saja tidak ada camilan seperti biasanya , yang di sediakan oleh airyroom . terimakasih airyroom , berkat airy tidur lebihnyaman dan harga terjangkau .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> fasilitas <extra_id_1> baik ; <extra_id_2> camilan <extra_id_3> tidak ada ; <extra_id_4> harga <extra_id_5> terjangkau,ao
"semuanya baik dan nyaman pelayanannya , lokasinya strategis pinggir jalan , cuma satu kalau bisa tolong sediakan tempat sampah di dalam kamar , next time balik lagi menginap di airy .| opini : <extra_id_0>",<extra_id_0> baik ; <extra_id_1> nyaman ; <extra_id_2> strategis,o
"kamar mandi tidak ada exhaust nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> exhaust nya <extra_id_1> tidak ada,ao
"reservasi dari aplikasi , sungguh menjebak . saya input tanggal yang benar , tetapi ketika searching masih menggunakan tanggal hari ini . saya telepon pihak hotel dan cs keduanya tidak mau tahu . padahal saya ingin menginap dihotel ini . pertama kali pakai aplikasi airy , langsung mengecewakan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> mengecewakan <extra_id_2> negative,aos
"strategis , pelayanan baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"bagus , cuma untuk sarapan pagi iya disediakan juga roti selai , teh , kopi , buah sesuai dengan harga kamar biar pelanggan puas jangan cuma satu menu , harga kamar lumanyan mahal sarapan cuma naskun saja .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> sarapan <extra_id_1> negative ; <extra_id_2> harga kamar <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> positive,as
"pemandangan oke lah , ac nya juga dingin , kolam renang nya lumayan , minus tidak ada air panas , tidak ada keset , tidak ada tempat sampah , seprai cuci nya tidak bersih . perbaiki lagi kebersihan kamar nya . terimakasih airy , over all sesuai harga lah iya .| aspek : <extra_id_0>",<extra_id_0> pemandangan ; <extra_id_1> ac nya ; <extra_id_2> kolam renang nya ; <extra_id_3> air panas ; <extra_id_4> keset ; <extra_id_5> tempat sampah ; <extra_id_6> seprai cuci nya ; <extra_id_7> kebersihan ; <extra_id_8> harga,a
"cukup nyaman . sayangnya shower tidak mengalir dengan lancar , terpaksa mandi menggunakan keran air .| opini : <extra_id_0>",<extra_id_0> tidak mengalir dengan lancar ; <extra_id_1> cukup nyaman,o
"bagus , murah , nyaman untuk transit .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"overall nyaman kamar bersih ac dingin tetapi ukuran kamar agak kecil .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> overall <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> ac <extra_id_7> dingin <extra_id_8> positive ; <extra_id_9> kamar <extra_id_10> agak kecil <extra_id_11> negative,aos
"kamar sesuai difoto , nyaman , dekat jalan malioboro pokoke jos gandos .| aspek : <extra_id_0>",<extra_id_0> kamar,a
"tempat strategis menu breakfast juga enak .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> strategis <extra_id_2> positive ; <extra_id_3> menu breakfast <extra_id_4> enak <extra_id_5> positive,aos
"kamar luas , handuk tidak diganti hanya dirapikan , pelayanan ramah sekali .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> handuk <extra_id_3> negative ; <extra_id_4> pelayanan <extra_id_5> positive,as
"baik . hanya saja di kamar saya terdapat senyum sehingga breakfast mealnya tidak dapat saya makan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"lokasi memang agak masuk ke dalam gang dan belum ada plang airy karena baru seminggu hotel ini beroperasi . tetapi kualitas dan pelayanan hotel oke banget !| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kualitas <extra_id_1> positive ; <extra_id_2> pelayanan hotel <extra_id_3> positive,as
nyaman tempatnya cuma sayang air panas nya tidak bisa . untuk keseluruhan oke lah .| opini : <extra_id_0>,<extra_id_0> nyaman ; <extra_id_1> tidak bisa ; <extra_id_2> oke,o
kamar nya bersih .| aspek : <extra_id_0>,<extra_id_0> kamar nya,a
"nyaman dan enak pelayannya ramah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayannya <extra_id_1> ramah ; <extra_id_2> NULL <extra_id_3> nyaman ; <extra_id_4> NULL <extra_id_5> enak,ao
"bersih dan sepi hening . cocok untuk istirahat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> bersih ; <extra_id_2> NULL <extra_id_3> sepi hening,ao
"semua nyaman . hanya lampu depan kamar mandi ada yang mati . seprai kotor .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> semua <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> lampu <extra_id_4> mati <extra_id_5> negative ; <extra_id_6> seprai <extra_id_7> kotor <extra_id_8> negative,aos
"mantap dan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> mantap <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> nyaman <extra_id_5> positive,aos
"pelayanan ramah , kamar bersih , ac dingin , hanya saja suara dari luar kedengaran , sedikit mengganggu ketenangan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> kamar <extra_id_3> positive ; <extra_id_4> ac <extra_id_5> positive,as
"ramah , baik . enak pokoknya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
kamar terlalu sempit .| aspek : <extra_id_0>,<extra_id_0> kamar,a
Reservation no smoking room but the room smells of cigarette smoke .| aspek : <extra_id_0>,<extra_id_0> room,a
"ada air hangatnya , ac lumayan dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air hangatnya <extra_id_1> ada ; <extra_id_2> ac <extra_id_3> lumayan dingin,ao
"kamar seram dan kotor . sepertinya badcovernya tidak di ganti karena banyak bercak noda .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> seram ; <extra_id_2> kamar <extra_id_3> kotor ; <extra_id_4> badcovernya <extra_id_5> bercak noda,ao
hotel bersih dan sangat nyaman tranportasi pun sangat cepat di dapatkan .| aspek : <extra_id_0>,<extra_id_0> hotel,a
"kali ini sangat kecewa . tidak ada mineral water , tidak ada handuk , kamar agak kotor . mengapa seperti itu ? : ( .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> mineral water <extra_id_1> tidak ada ; <extra_id_2> handuk <extra_id_3> tidak ada ; <extra_id_4> kamar <extra_id_5> agak kotor ; <extra_id_6> NULL <extra_id_7> sangat kecewa,ao
"Ini kan bintang 4, di apps juga di cantumkan (hairdyer tersedia disemua kamar) tp nyatanya? .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> (hairdyer <extra_id_1> positive,as
"kondisi hotel membutuhkan banyak perbaikan dari sisi infrastruktur , kamar sangat sempit , kami check out saat malam hari sehingga tidak tahu bagaimana sarapannya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative,as
aman dan nyaman .| opini : <extra_id_0>,<extra_id_0> aman ; <extra_id_1> nyaman,o
kamar mandi bau kasurnya kurang bersih lokasi strategis dekat dengan farmhouse .| opini : <extra_id_0>,<extra_id_0> bau ; <extra_id_1> kurang bersih ; <extra_id_2> strategis,o
"pelayanan oke , breakfast tidak kalah oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> breakfast <extra_id_4> tidak kalah oke <extra_id_5> positive,aos
kamar lumayan luas .| opini : <extra_id_0>,<extra_id_0> lumayan luas,o
"Pengalaman seru di Hotel Aston Bagor lengkap dengan sapaan ramah dari Mbak Anina , receptionist yg murah senyum dan sangat membantu tamu yang datang .| aspek : <extra_id_0>",<extra_id_0> Pengalaman ; <extra_id_1> Mbak Anina ; <extra_id_2> receptionist,a
tempatnya bersih . dekat dengan pusat kota .| opini : <extra_id_0>,<extra_id_0> bersih,o
"hotelnya bersih dan nyaman . tetapi menyediakan satu handuk padahal yang menginap dua orang . tetapi saran disediakan telepon untuk menghubungi resepsionis dan memudahkan untuk check out .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> positive ; <extra_id_2> handuk <extra_id_3> negative,as
"hotel menyenangkan , bersih , nyaman , petugas ramah , akses dekat ke taman tepi pantai , dekat ke dermaga pulau penyengat , dermaga singapura , batam , jalan kaki saja ke durian jalan . bakar batu .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> hotel <extra_id_1> menyenangkan <extra_id_2> positive ; <extra_id_3> hotel <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> hotel <extra_id_7> nyaman <extra_id_8> positive ; <extra_id_9> petugas <extra_id_10> ramah <extra_id_11> positive,aos
"check in ktp di minta , check out petugas lupa tidak memberikan ktp saya , padahal saya dari luar kota transit ke semarang dan saya tidak di hubungi terkait ini sampai saya caricari nomor telpun hotel , ketika di telpun juga tidak bahkan minta maaf bahkan lempar lemparan tanggung jawab .| aspek : <extra_id_0>",NULL,a
"tempat tidurnya saja yang nyaman , kamar mandi kotor , saluran air buntu , informasi dari resepsionis plin plan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat tidurnya <extra_id_1> positive ; <extra_id_2> kamar mandi <extra_id_3> negative ; <extra_id_4> saluran air <extra_id_5> negative,as
"sudah pastii sangat bersihh rekomen ini mah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> sangat bersihh rekomen,ao
sarapan oke . check in check out cepat tidak ribet .| opini : <extra_id_0>,<extra_id_0> oke ; <extra_id_1> cepat ; <extra_id_2> tidak ribet,o
"tempat bersih , staf ramah dan parkir aman . hanya sayang kamar saya banyak nyamuk nya : ( .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat <extra_id_1> bersih ; <extra_id_2> staf <extra_id_3> ramah ; <extra_id_4> parkir <extra_id_5> aman ; <extra_id_6> kamar <extra_id_7> banyak nyamuk,ao
"baik dan nyaman . bersih . untuk liburan keluarga .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"lokasi strategis . kamar bersih dan proses check in cepat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> positive ; <extra_id_2> kamar <extra_id_3> positive ; <extra_id_4> proses check in <extra_id_5> positive,as
"pengalaman saya inap disini sejauh ini saya suka sangat nyaman , hanya snack dari airy sisa dari visitor sebelumnya .| opini : <extra_id_0>",<extra_id_0> sangat nyaman,o
"kamar bagus , masa iya ada noda darah setitik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bagus,ao
"kamar hotel nyaman meskipun kecil , ac dingin banget , staf hotel ramah bahkan masih bisa senyum saya bangunin jam 4 subuh buat check out .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> kecil ; <extra_id_2> dingin banget ; <extra_id_3> ramah,o
"fasilitas sebanding , cuma perlu di perhatikan desain pembuangan air kamar mandi sepertinya perlu di cat ulang .| aspek : <extra_id_0>",<extra_id_0> fasilitas ; <extra_id_1> desain pembuangan air kamar mandi,a
"ac nya cuma buat pajangan saja tidak dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac nya <extra_id_1> tidak dingin,ao
lanjutkan servis yang baik ini .| aspek : <extra_id_0>,<extra_id_0> servis,a
tempatnya nyaman . tenang bersih . sayang shower air panasnya tidak stabil .| aspek : <extra_id_0>,<extra_id_0> tempatnya ; <extra_id_1> shower air panasnya,a
"sudah 2x ini inap di airy tetapi tidak pernah dapat bingkisan kotak biru dari airy ( complimentery ) padahal baca review temanteman sering pada dapat . waktu bertanya dari pihak hotel katanya dari airy tidak pernah kirim lagi , ty ke customer pelayanan airy di jawab airy tidak ada gitugituan , dan percakapan langsung di hentikan oleh customer pelayanan ats nama koko .| opini : <extra_id_0>",NULL,o
